date,time,news_count,social_count,x_count,youtube_count,risk_level,early_warning_decision,main_risk_title,opportunity_level,opportunity_score,opportunity_title,opportunity_type,opportunity_owner,opportunity_alarm_label,opportunity_mail_candidate,operator_status,data_health,team_action_count,note
2026-05-07,01:03,19,14,9,2,Yüksek,ACİL ALARM,Antalya Büyükşehir Belediyesi’nde 'rüşvet' ve 'yolsuzluk' davasında kuyumcu ve döviz firma personeli de tanıklık yaptı - T24,Takip edilebilir fırsat,5.3,baharin_neşesini_paylaşmanin_güzelliğini,Başkan iletişim performansı fırsatı,Başkan iletişim ekibi,Performans fırsatı,Hayır,Sistem sağlıklı,"Haber, sosyal medya ve ekip raporu temel kontrolleri normal görünüyor.",1,Otomatik günlük karar hafızası kaydı
2026-05-07,01:19,19,19,9,2,Yüksek,ACİL ALARM,"Antalya Büyükşehir Belediyesi Genel Sekreteri, tutuklandı - T24",Takip edilebilir fırsat,5.3,baharin_neşesini_paylaşmanin_güzelliğini,Başkan iletişim performansı fırsatı,Başkan iletişim ekibi,Performans fırsatı,Hayır,Sistem sağlıklı,"Haber, sosyal medya ve ekip raporu temel kontrolleri normal görünüyor.",1,Otomatik günlük karar hafızası kaydı
2026-05-07,01:29,19,19,9,2,Yüksek,ACİL ALARM,"Antalya Büyükşehir Belediyesi Genel Sekreteri, tutuklandı - T24",Takip edilebilir fırsat,5.3,baharin_neşesini_paylaşmanin_güzelliğini,Başkan iletişim performansı fırsatı,Başkan iletişim ekibi,Performans fırsatı,Hayır,Sistem sağlıklı,"Haber, sosyal medya ve ekip raporu temel kontrolleri normal görünüyor.",1,Otomatik günlük karar hafızası kaydı
2026-05-07,01:45,18,19,9,2,Yüksek,ACİL ALARM,"Antalya Büyükşehir Belediyesi Genel Sekreteri, tutuklandı - T24",Takip edilebilir fırsat,5.3,baharin_neşesini_paylaşmanin_güzelliğini,Başkan iletişim performansı fırsatı,Başkan iletişim ekibi,Performans fırsatı,Hayır,Sistem sağlıklı,"Haber, sosyal medya ve ekip raporu temel kontrolleri normal görünüyor.",1,Otomatik günlük karar hafızası kaydı
2026-05-07,01:55,18,19,9,2,Yüksek,ACİL ALARM,"Antalya Büyükşehir Belediyesi Genel Sekreteri, tutuklandı - T24",Takip edilebilir fırsat,5.3,baharin_neşesini_paylaşmanin_güzelliğini,Başkan iletişim performansı fırsatı,Başkan iletişim ekibi,Performans fırsatı,Hayır,Sistem sağlıklı,"Haber, sosyal medya ve ekip raporu temel kontrolleri normal görünüyor.",1,Otomatik günlük karar hafızası kaydı
2026-05-07,02:00,18,19,9,2,Yüksek,ACİL ALARM,"Antalya Büyükşehir Belediyesi Genel Sekreteri, tutuklandı - T24",Takip edilebilir fırsat,5.3,baharin_neşesini_paylaşmanin_güzelliğini,Başkan iletişim performansı fırsatı,Başkan iletişim ekibi,Performans fırsatı,Hayır,Sistem sağlıklı,"Haber, sosyal medya ve ekip raporu temel kontrolleri normal görünüyor.",1,Otomatik günlük karar hafızası kaydı
2026-05-07,02:48,19,19,9,2,Yüksek,ACİL ALARM,"Antalya Büyükşehir Belediyesi Genel Sekreteri, tutuklandı - T24",Takip edilebilir fırsat,5.3,baharin_neşesini_paylaşmanin_güzelliğini,Başkan iletişim performansı fırsatı,Başkan iletişim ekibi,Performans fırsatı,Hayır,Sistem sağlıklı,"Haber, sosyal medya ve ekip raporu temel kontrolleri normal görünüyor.",1,Otomatik günlük karar hafızası kaydı
2026-05-07,05:28,18,19,9,2,Yüksek,ACİL ALARM,"Antalya Büyükşehir Belediyesi Genel Sekreteri, tutuklandı - T24",Takip edilebilir fırsat,5.3,baharin_neşesini_paylaşmanin_güzelliğini,Başkan iletişim performansı fırsatı,Başkan iletişim ekibi,Performans fırsatı,Hayır,Sistem sağlıklı,"Haber, sosyal medya ve ekip raporu temel kontrolleri normal görünüyor.",1,Otomatik günlük karar hafızası kaydı
2026-05-08,08:16,18,19,9,2,Yüksek,ACİL ALARM,Antalya Büyükşehir Belediye Başkanı Muhittin Böcek ve ailesinin mal varlığına el kondu! - T24,Fırsat yok,0,Özet gününde belirgin fırsat görünmüyor.,Belirgin fırsat yok,Standart takip,Fırsat yok,Hayır,Sistem sağlıklı,"Haber, sosyal medya ve ekip raporu temel kontrolleri normal görünüyor.",1,Otomatik günlük karar hafızası kaydı
2026-05-08,10:04,21,19,9,2,Yüksek,ACİL ALARM,Antalya Büyükşehir Belediye Başkanı Muhittin Böcek ve ailesinin mal varlığına el kondu! - T24,Fırsat yok,0,Özet gününde belirgin fırsat görünmüyor.,Belirgin fırsat yok,Standart takip,Fırsat yok,Hayır,Sistem sağlıklı,"Haber, sosyal medya ve ekip raporu temel kontrolleri normal görünüyor.",1,Otomatik günlük karar hafızası kaydı
2026-05-08,11:28,2,0,0,0,Düşük,TAKİPTE KAL / HAZIR BEKLE,Riskli başlık belirlenemedi.,Takip edilebilir fırsat,5.0,"Kepez’de engel yok, Enfes 2026 Engelsiz Festivali var - Kepez Belediyesi",Genel PR / görünürlük fırsatı,Basın birimi,Günlük fırsat,Hayır,Kontrol gerekiyor,Sosyal medya verisi boş geldi • X verisi bugün boş görünüyor • YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-08,11:55,4,0,0,0,Düşük,TAKİPTE KAL / HAZIR BEKLE,Riskli başlık belirlenemedi.,Takip edilebilir fırsat,7.0,Kepez’de Sütçüler Mahallesi 3. Yörük ve Keşkek Şenliği coşkusu - Kepez Belediyesi,Mahalle / saha teması fırsatı,Basın birimi + saha ekibi,Güçlü fırsat / ekip takip,Hayır,Kontrol gerekiyor,Sosyal medya verisi boş geldi • X verisi bugün boş görünüyor • YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-08,13:20,8,0,0,0,Düşük,TAKİPTE KAL / HAZIR BEKLE,Riskli başlık belirlenemedi.,Takip edilebilir fırsat,7.0,Kepez’de Sütçüler Mahallesi 3. Yörük ve Keşkek Şenliği coşkusu - Kepez Belediyesi,Mahalle / saha teması fırsatı,Basın birimi + saha ekibi,Güçlü fırsat / ekip takip,Hayır,Kontrol gerekiyor,Sosyal medya verisi boş geldi • X verisi bugün boş görünüyor • YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-08,14:52,9,0,0,0,Orta,TAKİPTE KAL / HAZIR BEKLE,Antalya Büyükşehir Belediyesi ‘Yolsuzluk’ Davasında Muhittin Böcek Hakim Karşısına Çıktı - tekha.com.tr,Takip edilebilir fırsat,7.0,Kepez’de Sütçüler Mahallesi 3. Yörük ve Keşkek Şenliği coşkusu - Kepez Belediyesi,Mahalle / saha teması fırsatı,Basın birimi + saha ekibi,Güçlü fırsat / ekip takip,Hayır,Kontrol gerekiyor,Sosyal medya verisi boş geldi • X verisi bugün boş görünüyor • YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-08,15:33,10,0,0,0,Orta,TAKİPTE KAL / HAZIR BEKLE,Antalya Büyükşehir Belediyesi’ne yönelik 'rüşvet' ve 'yolsuzluk' davasında suç duyurusu kararı - Alanya Postası,Takip edilebilir fırsat,7.0,Kepez’de Sütçüler Mahallesi 3. Yörük ve Keşkek Şenliği coşkusu - Kepez Belediyesi,Mahalle / saha teması fırsatı,Basın birimi + saha ekibi,Güçlü fırsat / ekip takip,Hayır,Kontrol gerekiyor,Sosyal medya verisi boş geldi • X verisi bugün boş görünüyor • YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-07,15:59,6,6,1,0,Orta,ACİL ALARM,Okul inşaatı eleştirisi,Takip edilebilir fırsat,5.5,baharin_neşesini_paylaşmanin_güzelliğini,Başkan iletişim performansı fırsatı,Başkan iletişim ekibi,Performans fırsatı,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-07,16:16,7,6,1,0,Yüksek,ACİL ALARM,Son dakika | Antalya Büyükşehir’deki yolsuzluk davasında yeni detaylar: Farklı tarihlerde 4 kez para bıraktım! - Sabah,Takip edilebilir fırsat,5.5,baharin_neşesini_paylaşmanin_güzelliğini,Başkan iletişim performansı fırsatı,Başkan iletişim ekibi,Performans fırsatı,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-07,16:26,6,6,1,0,Orta,ACİL ALARM,Okul inşaatı eleştirisi,Takip edilebilir fırsat,5.5,baharin_neşesini_paylaşmanin_güzelliğini,Başkan iletişim performansı fırsatı,Başkan iletişim ekibi,Performans fırsatı,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-07,16:39,6,6,1,0,Orta,ACİL ALARM,Okul inşaatı eleştirisi,Takip edilebilir fırsat,5.5,baharin_neşesini_paylaşmanin_güzelliğini,Başkan iletişim performansı fırsatı,Başkan iletişim ekibi,Performans fırsatı,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-07,16:45,5,6,1,0,Orta,ACİL ALARM,Okul inşaatı eleştirisi,Takip edilebilir fırsat,5.5,baharin_neşesini_paylaşmanin_güzelliğini,Başkan iletişim performansı fırsatı,Başkan iletişim ekibi,Performans fırsatı,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-07,16:55,6,6,1,0,Orta,ACİL ALARM,Okul inşaatı eleştirisi,Takip edilebilir fırsat,5.5,baharin_neşesini_paylaşmanin_güzelliğini,Başkan iletişim performansı fırsatı,Başkan iletişim ekibi,Performans fırsatı,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-07,17:10,6,6,1,0,Orta,ACİL ALARM,Okul inşaatı eleştirisi,Takip edilebilir fırsat,5.5,baharin_neşesini_paylaşmanin_güzelliğini,Başkan iletişim performansı fırsatı,Başkan iletişim ekibi,Performans fırsatı,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-07,17:48,5,6,1,0,Orta,ACİL ALARM,Okul inşaatı eleştirisi,Takip edilebilir fırsat,5.5,baharin_neşesini_paylaşmanin_güzelliğini,Başkan iletişim performansı fırsatı,Başkan iletişim ekibi,Performans fırsatı,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-07,18:10,4,6,1,0,Orta,ACİL ALARM,Okul inşaatı eleştirisi,Takip edilebilir fırsat,5.5,baharin_neşesini_paylaşmanin_güzelliğini,Başkan iletişim performansı fırsatı,Başkan iletişim ekibi,Performans fırsatı,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-07,19:50,4,6,1,0,Orta,ACİL ALARM,Okul inşaatı eleştirisi,Takip edilebilir fırsat,5.6,uluslararasi_mozaik_sempozyumu_ziyaret,Hizmet görünürlüğü fırsatı,Kurumsal hesap + ilgili müdürlük,Performans fırsatı,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-07,21:06,4,6,1,0,Orta,ACİL ALARM,Okul inşaatı eleştirisi,Takip edilebilir fırsat,5.6,uluslararasi_mozaik_sempozyumu_ziyaret,Hizmet görünürlüğü fırsatı,Kurumsal hesap + ilgili müdürlük,Performans fırsatı,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-07,22:52,5,6,1,0,Orta,ACİL ALARM,Okul inşaatı eleştirisi,Takip edilebilir fırsat,5.6,uluslararasi_mozaik_sempozyumu_ziyaret,Hizmet görünürlüğü fırsatı,Kurumsal hesap + ilgili müdürlük,Performans fırsatı,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-07,23:52,5,6,1,0,Orta,ACİL ALARM,Okul inşaatı eleştirisi,Takip edilebilir fırsat,5.7,uluslararasi_mozaik_sempozyumu_ziyaret,Hizmet görünürlüğü fırsatı,Kurumsal hesap + ilgili müdürlük,Performans fırsatı,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-08,00:07,12,1,1,0,Yüksek,ACİL ALARM,Antalya Büyükşehir Belediyesi soruşturması davasında ara karar açıklandı - Anadolu Ajansı,Takip edilebilir fırsat,7.0,Kepez’de Sütçüler Mahallesi 3. Yörük ve Keşkek Şenliği coşkusu - Kepez Belediyesi,Mahalle / saha teması fırsatı,Basın birimi + saha ekibi,Güçlü fırsat / ekip takip,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-08,01:14,12,2,2,0,Yüksek,ACİL ALARM,Antalya Büyükşehir Belediyesi soruşturması davasında ara karar açıklandı - Anadolu Ajansı,Takip edilebilir fırsat,7.0,Kepez’de Sütçüler Mahallesi 3. Yörük ve Keşkek Şenliği coşkusu - Kepez Belediyesi,Mahalle / saha teması fırsatı,Basın birimi + saha ekibi,Güçlü fırsat / ekip takip,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-08,01:50,12,2,2,0,Yüksek,ACİL ALARM,Antalya Büyükşehir Belediyesi soruşturması davasında ara karar açıklandı - Anadolu Ajansı,Takip edilebilir fırsat,7.0,Kepez’de Sütçüler Mahallesi 3. Yörük ve Keşkek Şenliği coşkusu - Kepez Belediyesi,Mahalle / saha teması fırsatı,Basın birimi + saha ekibi,Güçlü fırsat / ekip takip,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-08,02:51,12,2,2,0,Yüksek,ACİL ALARM,Antalya Büyükşehir Belediyesi soruşturması davasında ara karar açıklandı - Anadolu Ajansı,Takip edilebilir fırsat,7.0,Kepez’de Sütçüler Mahallesi 3. Yörük ve Keşkek Şenliği coşkusu - Kepez Belediyesi,Mahalle / saha teması fırsatı,Basın birimi + saha ekibi,Güçlü fırsat / ekip takip,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-08,05:12,12,2,2,0,Yüksek,ACİL ALARM,Antalya Büyükşehir Belediyesi soruşturması davasında ara karar açıklandı - Anadolu Ajansı,Takip edilebilir fırsat,7.0,Kepez’de Sütçüler Mahallesi 3. Yörük ve Keşkek Şenliği coşkusu - Kepez Belediyesi,Mahalle / saha teması fırsatı,Basın birimi + saha ekibi,Güçlü fırsat / ekip takip,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-08,08:34,8,2,2,0,Yüksek,ACİL ALARM,Antalya Büyükşehir Belediyesi soruşturması davasında ara karar açıklandı - Anadolu Ajansı,Takip edilebilir fırsat,7.0,Kepez’de Sütçüler Mahallesi 3. Yörük ve Keşkek Şenliği coşkusu - Kepez Belediyesi,Mahalle / saha teması fırsatı,Basın birimi + saha ekibi,Güçlü fırsat / ekip takip,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-08,10:48,10,2,2,0,Yüksek,ACİL ALARM,Antalya Büyükşehir Belediyesi soruşturması davasında ara karar açıklandı - Anadolu Ajansı,Takip edilebilir fırsat,7.0,Kepez’de Sütçüler Mahallesi 3. Yörük ve Keşkek Şenliği coşkusu - Kepez Belediyesi,Mahalle / saha teması fırsatı,Basın birimi + saha ekibi,Güçlü fırsat / ekip takip,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-08,12:12,10,2,2,0,Yüksek,ACİL ALARM,Antalya Büyükşehir Belediyesi soruşturması davasında ara karar açıklandı - Anadolu Ajansı,Takip edilebilir fırsat,7.0,Kepez’de Sütçüler Mahallesi 3. Yörük ve Keşkek Şenliği coşkusu - Kepez Belediyesi,Mahalle / saha teması fırsatı,Basın birimi + saha ekibi,Güçlü fırsat / ekip takip,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-08,13:31,10,2,2,0,Yüksek,ACİL ALARM,Antalya Büyükşehir Belediyesi soruşturması davasında ara karar açıklandı - Anadolu Ajansı,Takip edilebilir fırsat,7.0,Kepez’de Sütçüler Mahallesi 3. Yörük ve Keşkek Şenliği coşkusu - Kepez Belediyesi,Mahalle / saha teması fırsatı,Basın birimi + saha ekibi,Güçlü fırsat / ekip takip,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-08,14:44,6,2,2,0,Yüksek,ACİL ALARM,Antalya Büyükşehir Belediyesi soruşturması davasında ara karar açıklandı - Anadolu Ajansı,Takip edilebilir fırsat,7.0,Kepez’de Sütçüler Mahallesi 3. Yörük ve Keşkek Şenliği coşkusu - Kepez Belediyesi,Mahalle / saha teması fırsatı,Basın birimi + saha ekibi,Güçlü fırsat / ekip takip,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-08,16:01,10,2,2,0,Yüksek,ACİL ALARM,Antalya Büyükşehir Belediyesi soruşturması davasında ara karar açıklandı - Anadolu Ajansı,Takip edilebilir fırsat,7.0,Kepez’de Sütçüler Mahallesi 3. Yörük ve Keşkek Şenliği coşkusu - Kepez Belediyesi,Mahalle / saha teması fırsatı,Basın birimi + saha ekibi,Güçlü fırsat / ekip takip,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-08,17:33,8,2,2,0,Yüksek,ACİL ALARM,Antalya Büyükşehir Belediyesi soruşturması davasında ara karar açıklandı - Anadolu Ajansı,Takip edilebilir fırsat,7.0,Kepez’de Sütçüler Mahallesi 3. Yörük ve Keşkek Şenliği coşkusu - Kepez Belediyesi,Mahalle / saha teması fırsatı,Basın birimi + saha ekibi,Güçlü fırsat / ekip takip,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-08,18:44,8,2,2,0,Yüksek,ACİL ALARM,Antalya Büyükşehir Belediyesi soruşturması davasında ara karar açıklandı - Anadolu Ajansı,Takip edilebilir fırsat,7.0,Kepez’de Sütçüler Mahallesi 3. Yörük ve Keşkek Şenliği coşkusu - Kepez Belediyesi,Mahalle / saha teması fırsatı,Basın birimi + saha ekibi,Güçlü fırsat / ekip takip,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-08,19:44,7,2,2,0,Yüksek,ACİL ALARM,Antalya Büyükşehir Belediye Başkanı Böcek savunma yaptı: Cep telefonumdaki veriler nasıl yayıldı? - Gazete Oksijen,Takip edilebilir fırsat,7.0,Kepez’de Sütçüler Mahallesi 3. Yörük ve Keşkek Şenliği coşkusu - Kepez Belediyesi,Mahalle / saha teması fırsatı,Basın birimi + saha ekibi,Güçlü fırsat / ekip takip,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-08,20:43,8,2,2,0,Yüksek,ACİL ALARM,Antalya Büyükşehir Belediye Başkanı Böcek savunma yaptı: Cep telefonumdaki veriler nasıl yayıldı? - Gazete Oksijen,Takip edilebilir fırsat,7.0,Kepez’de Sütçüler Mahallesi 3. Yörük ve Keşkek Şenliği coşkusu - Kepez Belediyesi,Mahalle / saha teması fırsatı,Basın birimi + saha ekibi,Güçlü fırsat / ekip takip,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-08,21:51,7,2,2,0,Yüksek,ACİL ALARM,Antalya Büyükşehir Belediye Başkanı Böcek savunma yaptı: Cep telefonumdaki veriler nasıl yayıldı? - Gazete Oksijen,Takip edilebilir fırsat,7.0,Kepez’de Sütçüler Mahallesi 3. Yörük ve Keşkek Şenliği coşkusu - Kepez Belediyesi,Mahalle / saha teması fırsatı,Basın birimi + saha ekibi,Güçlü fırsat / ekip takip,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-08,22:53,7,2,2,0,Yüksek,ACİL ALARM,Antalya Büyükşehir Belediye Başkanı Böcek savunma yaptı: Cep telefonumdaki veriler nasıl yayıldı? - Gazete Oksijen,Takip edilebilir fırsat,7.0,Kepez’de Sütçüler Mahallesi 3. Yörük ve Keşkek Şenliği coşkusu - Kepez Belediyesi,Mahalle / saha teması fırsatı,Basın birimi + saha ekibi,Güçlü fırsat / ekip takip,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
2026-05-08,23:37,7,2,2,0,Yüksek,ACİL ALARM,Antalya Büyükşehir Belediye Başkanı Böcek savunma yaptı: Cep telefonumdaki veriler nasıl yayıldı? - Gazete Oksijen,Takip edilebilir fırsat,7.0,Kepez’de Sütçüler Mahallesi 3. Yörük ve Keşkek Şenliği coşkusu - Kepez Belediyesi,Mahalle / saha teması fırsatı,Basın birimi + saha ekibi,Güçlü fırsat / ekip takip,Hayır,Kontrol gerekiyor,YouTube verisi bugün boş görünüyor,1,Otomatik günlük karar hafızası kaydı
