date,platform,account,content,topic,sentiment,risk_score,opportunity_score,likes,comments,shares,views,url,action_note
2026-04-30,X / Twitter,Yerel kullanıcı,"Teleferik davası yeniden gündem oldu, kamuoyu açıklama bekliyor.","Teleferik davası gündemi",negative,6.3,2,18,9,4,1200,https://example.com/teleferik,"Hukuki ve insani hassasiyetle takip edilmeli. Açıklama aceleye getirilmemeli."
2026-04-30,Instagram,Kepez Belediyesi,"Mahalle parkında bakım çalışması yapıldı.","Park ve yeşil alan çalışması",positive,1.5,7.5,240,32,18,5600,https://example.com/park,"Olumlu hizmet hikayesi olarak büyütülebilir."
2026-04-30,Facebook,Yerel grup,"Mahallede temizlik talebi tekrar gündeme geldi.","Temizlik şikayeti",negative,4.8,3,35,21,6,2100,https://example.com/temizlik,"İlgili müdürlükten saha bilgisi alınmalı, çözüm takvimi netleştirilmeli."
2026-04-30,YouTube,Yerel haber kanalı,"Kepez gündeminde belediye hizmetleri tartışıldı.","Belediye hizmetleri yorumu",neutral,3.2,4.5,74,16,3,3400,https://example.com/youtube,"Yorum tonu izlenmeli, olumsuzluk artarsa not alınmalı."
2026-04-30,TikTok,Yerel kullanıcı,"Kepez’de yol çalışması kısa video ile paylaşıldı.","Yol çalışması",positive,2.1,6.8,410,44,31,9800,https://example.com/tiktok,"Görsel etkisi yüksek; olumlu hizmet iletişimine çevrilebilir."
2026-05-07,Instagram,@kepezbelediyesi,"Duacı Mahallesi'nde sıcak asfalt çalışması tamamlandı. Vatandaşlardan olumlu yorumlar geliyor.","Duacı asfalt çalışması",positive,2,7,820,58,31,18000,https://instagram.com/test-duaci-asfalt,"Olumlu hizmet iletişimi büyütülebilir. Mahalle adıyla görsel kart hazırlanabilir.",Manuel test
2026-05-07,Facebook,@kepezbelediyesi,"Park ve yeşil alan bakım çalışmaları tamamlandı. Aileler ve çocuklar için güvenli alan vurgusu yapıldı.","Park ve yeşil alan çalışması",positive,1,6,410,44,31,9800,https://facebook.com/test-park,"Görsel etkisi yüksek; olumlu hizmet iletişimine çevrilebilir.",Manuel test
2026-05-07,TikTok,@yerelantalya,"Kepez'de okul inşaatında hata iddiası gündeme geldi. Yorumlarda belediye ve ilgili kurumlara tepki var.","Okul inşaatı eleştirisi",negative,7,1,120,86,20,25000,https://tiktok.com/test-okul-insaat,"Riskli sosyal içerik. İlgili birimden bilgi alınmalı, yayılım takip edilmeli.",Manuel test
2026-05-07,Instagram,@mahallehaberleri,"Mahalle sakinleri çöp konteynerlerinin geç toplandığını söylüyor. Yorumlarda temizlik şikayeti artıyor.","Temizlik şikayeti",negative,6,1,90,35,15,6000,https://instagram.com/test-temizlik,"Hizmet şikayeti olarak takip edilmeli. Kurumsal cevap veya saha bilgisi kontrol edilmeli.",Manuel test
2026-05-07,Facebook,@antalya_gundem,"Başkanın mahalle ziyareti ve vatandaşlarla görüşmesi sosyal medyada paylaşıldı.","Mahalle ziyareti",neutral,3,5,260,22,12,7200,https://facebook.com/test-mahalle,"Başkanın sahada dinleyen profilini destekleyen içerik olabilir.",Manuel test